timestamp,open,high,low,close,volume
2022-09-01,156.6400,158.4200,154.6700,157.9600,74229896
2022-08-31,160.3050,160.5800,157.1400,157.2200,87991091
2022-08-30,162.1300,162.5600,157.7200,158.9100,77906197
2022-08-29,161.1450,162.9000,159.8200,161.3800,72724452
2022-08-26,170.5700,171.0500,163.5600,163.6200,78960980
2022-08-25,168.7800,170.1400,168.3500,170.0300,51218209
2022-08-24,167.3200,168.1100,166.2450,167.5300,53841524
2022-08-23,167.0800,168.7100,166.6500,167.2300,54147079
2022-08-22,169.6900,169.8600,167.1350,167.5700,69026809
2022-08-19,173.0300,173.7400,171.3101,171.5200,70346295
2022-08-18,173.7500,174.9000,173.1200,174.1500,62290075
2022-08-17,172.7700,176.1500,172.5700,174.5500,79542037
2022-08-16,172.7800,173.7100,171.6618,173.0300,56377050
2022-08-15,171.5200,173.3900,171.3450,173.1900,54091694
2022-08-12,169.8200,172.1700,169.4000,172.1000,68039382
2022-08-11,170.0600,170.9900,168.1900,168.4900,57149159
2022-08-10,167.6800,169.3400,166.9000,169.2400,70170540
2022-08-09,164.0200,165.8200,163.2500,164.9200,63135503
2022-08-08,166.3700,167.8100,164.2000,164.8700,60362338
2022-08-05,163.2100,165.8500,163.0000,165.3500,56696985
2022-08-04,166.0050,167.1900,164.4300,165.8100,55474144
2022-08-03,160.8400,166.5900,160.7500,166.1300,82507488
2022-08-02,160.1000,162.4100,159.6300,160.0100,59907025
2022-08-01,161.0100,163.5900,160.8900,161.5100,67829379
2022-07-29,161.2400,163.6300,159.5000,162.5100,101786860
2022-07-28,156.9800,157.6400,154.4100,157.3500,81378731
2022-07-27,152.5800,157.3300,152.1600,156.7900,78620688
2022-07-26,152.2650,153.0850,150.8000,151.6000,55138691
2022-07-25,154.0100,155.0400,152.2800,152.9500,53623945
2022-07-22,155.3900,156.2800,153.4100,154.0900,66675408
2022-07-21,154.5000,155.5700,151.9400,155.3500,65086636
2022-07-20,151.1200,153.7200,150.3700,153.0400,64823413
2022-07-19,147.9200,151.2300,146.9100,151.0000,82982367
2022-07-18,150.7400,151.5700,146.7000,147.0700,81420868
2022-07-15,149.7800,150.8600,148.2000,150.1700,76259931
2022-07-14,144.0800,148.9500,143.2500,148.4700,78140744
2022-07-13,142.9900,146.4500,142.1201,145.4900,71185560
2022-07-12,145.7600,148.4500,145.0500,145.8600,77588759
2022-07-11,145.6700,146.6400,143.7800,144.8700,63305113
2022-07-08,145.2650,147.5500,145.0000,147.0400,64547798
2022-07-07,143.2900,146.5500,143.2800,146.3500,66253709
2022-07-06,141.3550,144.1200,141.0800,142.9200,74064254
2022-07-05,137.7700,141.6100,136.9300,141.5600,73429641
2022-07-01,136.0400,139.0400,135.6600,138.9300,71051552
2022-06-30,137.2500,138.3700,133.7737,136.7200,98964467
2022-06-29,137.4600,140.6700,136.6700,139.2300,66242411
2022-06-28,142.1300,143.4220,137.3250,137.4400,67315328
2022-06-27,142.6950,143.4900,140.9650,141.6600,70207908
2022-06-24,139.9000,141.9100,139.7700,141.6600,89116837
2022-06-23,136.8200,138.5900,135.6300,138.2700,72433768
2022-06-22,134.7900,137.7600,133.9100,135.3500,73409234
2022-06-21,133.4200,137.0600,133.3200,135.8700,81000488
2022-06-17,130.0650,133.0790,129.8100,131.5600,134520290
2022-06-16,132.0800,132.3900,129.0400,130.0600,107961508
2022-06-15,134.2900,137.3400,132.1600,135.4300,91532972
2022-06-14,133.1300,133.8900,131.4800,132.7600,84784326
2022-06-13,132.8700,135.2000,131.4400,131.8800,122207099
2022-06-10,140.2800,140.7600,137.0600,137.1300,91566637
2022-06-09,147.0800,147.9500,142.5300,142.6400,69472976
2022-06-08,148.5800,149.8697,147.4600,147.9600,53950201
2022-06-07,144.3450,149.0000,144.1000,148.7100,67808150
2022-06-06,147.0300,148.5689,144.9000,146.1400,71598380
2022-06-03,146.9000,147.9700,144.4600,145.3800,88570289
2022-06-02,147.8300,151.2700,146.8600,151.2100,72348055
2022-06-01,149.9000,151.7400,147.6800,148.7100,74286635
2022-05-31,149.0700,150.6600,146.8400,148.8400,103718416
2022-05-27,145.3900,149.6800,145.2600,149.6400,90978503
2022-05-26,137.3900,144.3400,137.1400,143.7800,90601548
2022-05-25,138.4300,141.7850,138.3400,140.5200,92482696
2022-05-24,140.8050,141.9700,137.3300,140.3600,104132746
2022-05-23,137.7900,143.2600,137.6500,143.1100,117726265
2022-05-20,139.0900,140.7000,132.6100,137.5900,137426125
2022-05-19,139.8800,141.6600,136.6000,137.3500,136095640
2022-05-18,146.8500,147.3601,139.9000,140.8200,109742890
2022-05-17,148.8600,149.7700,146.6800,149.2400,78336254
2022-05-16,145.5500,147.5199,144.1800,145.5400,86643781
2022-05-13,144.5900,148.1050,143.1100,147.1100,113990852
2022-05-12,142.7700,146.2000,138.8000,142.5600,182602041
2022-05-11,153.5000,155.4500,145.8100,146.5000,142689825
2022-05-10,155.5200,156.7400,152.9300,154.5100,115366736
2022-05-09,154.9250,155.8300,151.4900,152.0600,131577921
2022-05-06,156.0100,159.4400,154.1800,157.2800,116124647
2022-05-05,163.8500,164.0800,154.9500,156.7700,130525275
2022-05-04,159.6700,166.4800,159.2600,166.0200,107521649
2022-05-03,158.1500,160.7100,156.3200,159.4800,88966526
2022-05-02,156.7100,158.2300,153.2700,157.9600,123055265
2022-04-29,161.8400,166.2000,157.2500,157.6500,131747571
2022-04-28,159.2500,164.5150,158.9300,163.6400,130216792
2022-04-27,155.9100,159.7900,155.3800,156.5700,88063191
2022-04-26,162.2500,162.3400,156.7200,156.8000,94008394
2022-04-25,161.1200,163.1700,158.4600,162.8800,96046376
2022-04-22,166.4600,167.8699,161.5000,161.7900,84882424
2022-04-21,168.9100,171.5300,165.9100,166.4200,87227768
2022-04-20,168.7600,168.8800,166.1000,167.2300,67718110
2022-04-19,165.0200,167.8200,163.9100,167.4000,67723833
2022-04-18,163.9200,166.5984,163.5700,165.0700,69023941
2022-04-14,170.6200,171.2700,165.0400,165.2900,75329376
2022-04-13,167.3900,171.0400,166.7700,170.4000,70618925
2022-04-12,168.0200,169.8700,166.6400,167.6600,79265181
2022-04-11,168.7100,169.0300,165.5000,165.7500,72246706
